Label,Michael,Jim,Pam,Dwight,Andy,Pete,Robert,Angela,Nellie,Jan,Holly,Oscar,Jo,Phyllis,Meredith,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 7 Episode 1,26.60550459,10.09174312,11.46788991,9.633027523,7.339449541,0,0,1.376146789,0,0,0,3.669724771,3.211009174,3.211009174,1.376146789,1.376146789,0,2.293577982,0,2.293577982,5.04587156,0,1.834862385,0,1.376146789,3.211009174,0,0,2.293577982,2.293577982
Season 7 Episode 2,12.3015873,13.49206349,15.47619048,19.04761905,5.158730159,0,0,1.587301587,0,0,0,2.777777778,0,1.19047619,0,1.19047619,0,1.587301587,0,2.380952381,6.746031746,0,0.396825397,0,13.88888889,1.587301587,0,0,1.19047619,0
Season 7 Episode 3,21.18226601,9.359605911,8.374384236,8.374384236,24.13793103,0,0,7.881773399,0,0,0,0.492610837,0,1.97044335,0.492610837,0,0,5.418719212,0,0.985221675,0,0,0.985221675,0,0,9.359605911,0,0,0.985221675,0
Season 7 Episode 4,32.22222222,1.481481481,2.962962963,15.18518519,14.81481481,0,0,0.740740741,0,5.925925926,5.925925926,2.592592593,0,1.851851852,2.592592593,0.37037037,0,2.962962963,0,1.851851852,1.111111111,0,0.740740741,0,0,1.481481481,0,0,1.481481481,3.703703704
Season 7 Episode 5,25.07374631,17.40412979,2.949852507,16.51917404,11.20943953,0,0,0.589970501,0,0,0,4.719764012,0,2.359882006,4.424778761,0.884955752,0,6.784660767,0,0.884955752,0,0,0.589970501,0,0,0.589970501,0,0,1.474926254,3.539823009
Season 7 Episode 6,23.6,10.8,9.6,5.6,6.4,0,0,2,0,0,0,3.2,0,2,0.4,2.4,0,10.4,0,2,5.6,0,1.2,0,1.6,2.8,0,0,2.8,7.6
Season 7 Episode 7,31.89655172,16.37931034,14.22413793,6.896551724,10.77586207,0,0,3.448275862,0,0,0,0.862068966,0,2.155172414,0,2.586206897,0,0.862068966,0,0.862068966,0.862068966,0,0,0,1.293103448,3.879310345,0,0,1.293103448,1.724137931
Season 7 Episode 8,20.89552239,6.71641791,8.582089552,9.701492537,10.07462687,0,0,3.358208955,0,0,0,2.611940299,0,4.47761194,0,1.119402985,0,0,0,4.850746269,6.71641791,0,1.492537313,0,0,15.67164179,0,0,0.373134328,3.358208955
Season 7 Episode 9,24,8.727272727,10.18181818,8.727272727,3.636363636,0,0,7.272727273,0,0,0,1.818181818,1.454545455,0.363636364,0,19.63636364,0,0,0,1.818181818,2.909090909,0,1.090909091,0,0,2.545454545,0,0,2.545454545,3.272727273
Season 7 Episode 10,19.44444444,9.375,15.97222222,16.66666667,7.986111111,0,0,1.041666667,0,0,0,8.680555556,0,1.041666667,0.694444444,2.430555556,0,4.513888889,0,2.777777778,0.347222222,0,0.694444444,0,0,3.472222222,0,0,2.083333333,2.777777778
